1431, 340, 349, 181, 69, 99, 0
1246, 292, 453, 213, 131, 109, 5
1362, 340, 409, 165, 136, 108, 2
1265, 326, 460, 193, 125, 142, 4
1368, 569, 440, 193, 156, 91, 1
1336, 480, 535, 225, 177, 133, 4
1335, 329, 395, 200, 69, 126, 4
1401, 385, 412, 156, 140, 116, 4
1312, 376, 504, 152, 117, 107, 2
1333, 305, 385, 235, 58, 93, 3
1345, 315, 391, 149, 128, 114, 4
1291, 325, 433, 204, 110, 119, 5
1309, 286, 399, 193, 84, 122, 3
1285, 325, 454, 228, 105, 121, 3
1348, 300, 392, 173, 119, 100, 0
1392, 328, 366, 161, 113, 92, 2
1363, 328, 403, 194, 96, 113, 1
1364, 311, 311, 237, 52, 97, 1
1330, 344, 442, 183, 165, 94, 4
1331, 297, 456, 193, 130, 133, 2
1361, 330, 409, 223, 71, 155, 0
1252, 239, 427, 189, 125, 113, 0
1440, 469, 437, 236, 106, 95, 3
1358, 466, 462, 173, 168, 121, 2
1348, 363, 386, 213, 54, 119, 1
1396, 348, 390, 198, 98, 94, 1
1440, 424, 400, 169, 120, 111, 3
1397, 464, 478, 238, 150, 90, 3